"Sequence number"	"Sequence ID"	"Functionality"	"V-GENE and allele"	"V-REGION Nb of positions including IMGT gaps (nt)"	"V-REGION Nb of nucleotides"	"V-REGION Nb of identical nucleotides"	"V-REGION Nb of mutations"	"V-REGION Nb of silent mutations"	"V-REGION Nb of nonsilent mutations"	"V-REGION a>g"	"V-REGION g>a"	"V-REGION c>t"	"V-REGION t>c"	"V-REGION a>c"	"V-REGION c>a"	"V-REGION a>t"	"V-REGION t>a"	"V-REGION g>c"	"V-REGION c>g"	"V-REGION g>t"	"V-REGION t>g"	"FR1-IMGT Nb of positions including IMGT gaps (nt)"	"FR1-IMGT Nb of nucleotides"	"FR1-IMGT Nb of identical nucleotides"	"FR1-IMGT Nb of mutations"	"FR1-IMGT Nb of silent mutations"	"FR1-IMGT Nb of nonsilent mutations"	"FR1-IMGT a>g"	"FR1-IMGT g>a"	"FR1-IMGT c>t"	"FR1-IMGT t>c"	"FR1-IMGT a>c"	"FR1-IMGT c>a"	"FR1-IMGT a>t"	"FR1-IMGT t>a"	"FR1-IMGT g>c"	"FR1-IMGT c>g"	"FR1-IMGT g>t"	"FR1-IMGT t>g"	"CDR1-IMGT Nb of positions including IMGT gaps (nt)"	"CDR1-IMGT Nb of nucleotides"	"CDR1-IMGT Nb of identical nucleotides"	"CDR1-IMGT Nb of mutations"	"CDR1-IMGT Nb of silent mutations"	"CDR1-IMGT Nb of nonsilent mutations"	"CDR1-IMGT a>g"	"CDR1-IMGT g>a"	"CDR1-IMGT c>t"	"CDR1-IMGT t>c"	"CDR1-IMGT a>c"	"CDR1-IMGT c>a"	"CDR1-IMGT a>t"	"CDR1-IMGT t>a"	"CDR1-IMGT g>c"	"CDR1-IMGT c>g"	"CDR1-IMGT g>t"	"CDR1-IMGT t>g"	"FR2-IMGT Nb of positions including IMGT gaps (nt)"	"FR2-IMGT Nb of nucleotides"	"FR2-IMGT Nb of identical nucleotides"	"FR2-IMGT Nb of mutations"	"FR2-IMGT Nb of silent mutations"	"FR2-IMGT Nb of nonsilent mutations"	"FR2-IMGT a>g"	"FR2-IMGT g>a"	"FR2-IMGT c>t"	"FR2-IMGT t>c"	"FR2-IMGT a>c"	"FR2-IMGT c>a"	"FR2-IMGT a>t"	"FR2-IMGT t>a"	"FR2-IMGT g>c"	"FR2-IMGT c>g"	"FR2-IMGT g>t"	"FR2-IMGT t>g"	"CDR2-IMGT Nb of positions including IMGT gaps (nt)"	"CDR2-IMGT Nb of nucleotides"	"CDR2-IMGT Nb of identical nucleotides"	"CDR2-IMGT Nb of mutations"	"CDR2-IMGT Nb of silent mutations"	"CDR2-IMGT Nb of nonsilent mutations"	"CDR2-IMGT a>g"	"CDR2-IMGT g>a"	"CDR2-IMGT c>t"	"CDR2-IMGT t>c"	"CDR2-IMGT a>c"	"CDR2-IMGT c>a"	"CDR2-IMGT a>t"	"CDR2-IMGT t>a"	"CDR2-IMGT g>c"	"CDR2-IMGT c>g"	"CDR2-IMGT g>t"	"CDR2-IMGT t>g"	"FR3-IMGT Nb of positions including IMGT gaps (nt)"	"FR3-IMGT Nb of nucleotides"	"FR3-IMGT Nb of identical nucleotides"	"FR3-IMGT Nb of mutations"	"FR3-IMGT Nb of silent mutations"	"FR3-IMGT Nb of nonsilent mutations"	"FR3-IMGT a>g"	"FR3-IMGT g>a"	"FR3-IMGT c>t"	"FR3-IMGT t>c"	"FR3-IMGT a>c"	"FR3-IMGT c>a"	"FR3-IMGT a>t"	"FR3-IMGT t>a"	"FR3-IMGT g>c"	"FR3-IMGT c>g"	"FR3-IMGT g>t"	"FR3-IMGT t>g"	"CDR3-IMGT Nb of positions including IMGT gaps (nt)"	"CDR3-IMGT Nb of nucleotides"	"CDR3-IMGT Nb of identical nucleotides"	"CDR3-IMGT Nb of mutations"	"CDR3-IMGT Nb of silent mutations"	"CDR3-IMGT Nb of nonsilent mutations"	"CDR3-IMGT a>g"	"CDR3-IMGT g>a"	"CDR3-IMGT c>t"	"CDR3-IMGT t>c"	"CDR3-IMGT a>c"	"CDR3-IMGT c>a"	"CDR3-IMGT a>t"	"CDR3-IMGT t>a"	"CDR3-IMGT g>c"	"CDR3-IMGT c>g"	"CDR3-IMGT g>t"	"CDR3-IMGT t>g"	""
11	">366_@M02381:30:000000000-AUCBB:1:1101:19170:3369"	"productive"	"Homsap TRBV5-1*01 F"	"322 (325)"	"194 (197)"	"192"	"2 (5)"	"2 (3)"	"0 (2)"	"1"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"1"	"0"	"0 (1)"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	50	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10 (13)"	"10 (13)"	"10"	"0 (3)"	"0 (1)"	"0 (2)"	"0"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	NA
12	">369_@M02381:30:000000000-AUCBB:1:1101:18359:3372"	"productive"	"Homsap TRBV5-1*01 F"	"323 (325)"	"195 (197)"	"189 (190)"	"6 (7)"	"4 (5)"	"2"	"1"	"0 (1)"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	50	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	107	4	2	2	0	0	1	1	0	1	0	0	0	0	0	1	"11 (13)"	"11 (13)"	"11 (12)"	"0 (1)"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
13	">370_@M02381:30:000000000-AUCBB:1:1101:17698:3381"	"unproductive"	"Homsap TRBV5-1*01 F"	"325"	"197"	"192"	"5"	"5"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	50	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	108	3	3	0	0	0	1	2	0	0	0	0	0	0	0	0	"13"	"13"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
14	">371_@M02381:30:000000000-AUCBB:1:1101:11103:3382"	"unknown"	"Homsap TRBV28*01 F"	"312"	"184"	"100"	"84"	"7"	"77"	"4"	"6"	"6"	"7"	"7"	"9"	"3"	"6"	"5"	"2"	"19"	"10"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	1	3	1	2	1	0	0	1	0	0	1	0	0	0	0	0	51	51	13	38	0	38	2	3	4	6	3	3	0	1	3	2	5	6	30	18	7	11	1	10	1	2	0	0	1	0	1	4	0	0	1	1	117	111	79	32	5	27	0	1	2	0	3	6	1	1	2	0	13	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
15	">372_@M02381:30:000000000-AUCBB:1:1101:9433:3383"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
16	">374_@M02381:30:000000000-AUCBB:1:1101:21051:3384"	"unproductive"	"Homsap TRBV5-1*01 F"	"323 (325)"	"195 (197)"	"193 (194)"	"2 (3)"	"2 (3)"	"0"	"1"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	50	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11 (13)"	"11 (13)"	"11 (12)"	"0 (1)"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
17	">376_@M02381:30:000000000-AUCBB:1:1101:18322:3397"	"productive"	"Homsap TRBV20-1*01 F, or Homsap TRBV20-1*02 F"	"318 (323)"	"196 (201)"	"195 (197)"	"1 (4)"	"0"	"1 (4)"	"0 (2)"	"1 (2)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	113	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	"6 (11)"	"6 (11)"	"6 (8)"	"0 (3)"	"0"	"0 (3)"	"0 (2)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
18	">377_@M02381:30:000000000-AUCBB:1:1101:14535:3398"	"productive"	"Homsap TRBV4-2*01 F"	"323 (326)"	"195 (198)"	"195 (196)"	"0 (2)"	"0 (2)"	"0"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11 (14)"	"11 (14)"	"11 (12)"	"0 (2)"	"0 (2)"	"0"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
19	">379_@M02381:30:000000000-AUCBB:1:1101:13829:3405"	"unknown"	"Homsap TRBV5-6*01 F"	"312"	"184"	"110"	"74"	"6"	"68"	"3"	"11"	"9"	"1"	"2"	"11"	"2"	"7"	"3"	"6"	"12"	"7"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	1	3	1	2	0	0	1	1	0	0	0	0	0	1	0	0	51	51	18	33	0	33	3	4	3	0	1	6	0	2	2	4	2	6	30	18	11	7	1	6	0	4	0	0	0	0	1	2	0	0	0	0	117	111	80	31	4	27	0	3	5	0	1	5	1	3	1	1	10	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
20	">380_@M02381:30:000000000-AUCBB:1:1101:9094:3410"	"unproductive"	"Homsap TRBV4-1*01 F"	"326"	"198"	"197"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"14"	"14"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
21	">382_@M02381:30:000000000-AUCBB:1:1101:18393:3419"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
22	">383_@M02381:30:000000000-AUCBB:1:1101:19524:3423"	"productive"	"Homsap TRBV5-1*01 F"	"321 (325)"	"193 (197)"	"191 (192)"	"2 (5)"	"2 (3)"	"0 (2)"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"1 (2)"	"0"	"0"	"0 (1)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	50	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9 (13)"	"9 (13)"	"9 (10)"	"0 (3)"	"0 (1)"	"0 (2)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0 (1)"	"0"	"0"	"0 (1)"	NA
23	">384_@M02381:30:000000000-AUCBB:1:1101:11998:3428"	"productive"	"Homsap TRBV7-3*01 F"	"323 (326)"	"198 (201)"	"194 (195)"	"4 (6)"	"2 (3)"	"2 (3)"	"0"	"1"	"1 (2)"	"0"	"1 (2)"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	2	2	1	1	0	1	0	0	0	0	0	1	0	0	0	0	51	51	49	2	1	1	0	0	1	0	1	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11 (14)"	"11 (14)"	"11 (12)"	"0 (2)"	"0 (1)"	"0 (1)"	"0"	"0"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
